Standpunkt 1,  Ebene Unten,  U1,  1127.459038,  -1516.008869,  -1239.615356,  6.350000,  6.350000,  04/20/18 13:25:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000303 mm,  Weather:T=22.1C,P=982.4hPA(mbar),H=36.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000149, 2 = 0.000045, 3 = 0.000050 mm
Standpunkt 1,  Ebene Oben,  O7,  1049.228328,  -1543.992862,  -529.044877,  6.350000,  6.350000,  04/20/18 13:29:16,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000576 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000071, 2 = 0.000056, 3 = 0.000550 mm
Standpunkt 1,  Ebene Oben,  O8,  1123.748018,  -1524.645488,  -529.099110,  6.350000,  6.350000,  04/20/18 13:29:33,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003790 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001850, 2 = 0.000409, 3 = 0.001200 mm
Standpunkt 1,  Konus,  1,  1144.015464,  -1571.421783,  -526.244037,  6.350000,  6.350000,  04/20/18 13:30:08,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000268 mm,  Weather:T=22.3C,P=982.3hPA(mbar),H=36.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000014, 2 = 0.000110, 3 = 0.000150 mm
Standpunkt 1,  Oben 2,  O8,  1117.647267,  -1525.351043,  -529.149142,  6.350000,  6.350000,  04/20/18 13:34:14,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003646 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=35.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000110, 2 = 0.001839, 3 = 0.000450 mm
Standpunkt 1,  Oben 2,  O6,  999.736527,  -1476.041380,  -529.352293,  6.350000,  6.350000,  04/20/18 13:34:31,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003718 mm,  Weather:T=22.4C,P=982.1hPA(mbar),H=36.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002075, 2 = 0.000153, 3 = 0.000250 mm
Standpunkt 1,  Oben 2,  O7,  1027.025344,  -1542.640444,  -529.121062,  6.350000,  6.350000,  04/20/18 13:34:41,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.000653 mm,  Weather:T=22.4C,P=982.1hPA(mbar),H=36.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000298, 2 = 0.000179, 3 = 0.000050 mm
Standpunkt 1,  Oben 2,  O4,  831.675726,  -1436.236667,  -529.494322,  6.350000,  6.350000,  04/20/18 13:35:06,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.001005 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=36.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000053, 2 = 0.000029, 3 = 0.001000 mm
Standpunkt 1,  Oben 2,  O3,  740.008163,  -1488.042087,  -529.352474,  6.350000,  6.350000,  04/20/18 13:35:44,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004222 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=36.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001969, 2 = 0.000172, 3 = 0.002650 mm
Standpunkt 1,  Oben 2,  O2,  732.013374,  -1613.841106,  -528.829420,  6.350000,  6.350000,  04/20/18 13:36:13,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.021768 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=36.0%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001734, 2 = 0.000015, 3 = 0.021550 mm
Standpunkt 1,  Oben 2,  O1,  754.725157,  -1712.939842,  -528.499574,  6.350000,  6.350000,  04/20/18 13:36:30,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.002455 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=36.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000156, 2 = 0.000220, 3 = 0.002400 mm
Standpunkt 1,  Unten 2,  U1,  1127.147494,  -1513.493667,  -1239.587537,  6.350000,  6.350000,  04/20/18 13:37:13,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004044 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=36.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000195, 2 = 0.001782, 3 = 0.000150 mm
Standpunkt 1,  Unten 2,  U2,  957.339243,  -1465.648633,  -1240.109889,  6.350000,  6.350000,  04/20/18 13:37:32,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003622 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=35.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000177, 2 = 0.001646, 3 = 0.000750 mm
Standpunkt 1,  Unten 2,  U3,  803.960391,  -1432.704462,  -1240.537083,  6.350000,  6.350000,  04/20/18 13:37:44,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.003859 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=35.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002145, 2 = 0.000657, 3 = 0.000800 mm
Standpunkt 1,  Unten 2,  U4,  761.026963,  -1480.805101,  -1240.498939,  6.350000,  6.350000,  04/20/18 13:38:33,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004774 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=35.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002148, 2 = 0.001437, 3 = 0.001050 mm
Standpunkt 1,  Unten 2,  U5,  804.589409,  -1693.666631,  -1239.958933,  6.350000,  6.350000,  04/20/18 13:39:22,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.006199 mm,  Weather:T=22.4C,P=982.2hPA(mbar),H=35.9%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000295, 2 = 0.002388, 3 = 0.003050 mm
Standpunkt 1,  Konus 2,  1,  1143.997519,  -1571.487183,  -526.294065,  6.350000,  6.350000,  04/20/18 13:50:11,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004555 mm,  Weather:T=22.5C,P=982.0hPA(mbar),H=35.8%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002124, 2 = 0.000338, 3 = 0.001800 mm
20180425,  Test stabi,  1,  -5.740047,  2039.485951,  -81.945422,  6.350000,  6.350000,  04/25/18 09:45:46,  ,  Leica AT401 391094,  Reflector 'defaultRRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 0.5in',  RMS Error 0.004861 mm,  Weather:T=21.4C,P=975.1hPA(mbar),H=41.1%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000047, 2 = 0.001813, 3 = 0.003150 mm
20180425,  Flaeche unten,  1,  209.339562,  2264.013025,  -907.412014,  19.050000,  19.050000,  04/25/18 09:51:28,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003900 mm,  Weather:T=21.6C,P=975.3hPA(mbar),H=40.8%,  Measure Time Discrete Point Precise Pt. To SA,  emScon STANDARD Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001627, 2 = 0.000476, 3 = 0.000400 mm
20180425,  Flaeche unten,  2,  104.548503,  2118.179107,  -907.166358,  19.050000,  19.050000,  04/25/18 09:51:49,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004063 mm,  Weather:T=21.6C,P=975.2hPA(mbar),H=40.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000026, 2 = 0.001759, 3 = 0.000200 mm
20180425,  Flaeche unten,  3,  28.832222,  2012.172478,  -906.895053,  19.050000,  19.050000,  04/25/18 09:52:11,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001685 mm,  Weather:T=21.6C,P=975.1hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000047, 2 = 0.000703, 3 = 0.000650 mm
20180425,  Flaeche unten,  4,  -123.177757,  2035.598679,  -906.852094,  19.050000,  19.050000,  04/25/18 09:52:42,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004387 mm,  Weather:T=21.6C,P=975.1hPA(mbar),H=40.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001993, 2 = 0.000048, 3 = 0.001650 mm
20180425,  Flaeche unten,  5,  -157.007969,  2170.302150,  -906.927711,  19.050000,  19.050000,  04/25/18 09:53:06,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004872 mm,  Weather:T=21.7C,P=975.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001888, 2 = 0.001051, 3 = 0.000850 mm
20180425,  Flaeche unten,  6,  -203.347489,  2349.091491,  -906.970066,  19.050000,  19.050000,  04/25/18 09:53:29,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.006495 mm,  Weather:T=21.7C,P=975.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001939, 2 = 0.001713, 3 = 0.001600 mm
20180425,  Flaeche mitte,  1,  -200.201137,  2355.690631,  -195.878448,  19.050000,  19.050000,  04/25/18 09:54:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003880 mm,  Weather:T=21.7C,P=975.1hPA(mbar),H=40.6%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000125, 2 = 0.001622, 3 = 0.000400 mm
20180425,  Flaeche mitte,  2,  -155.977401,  2225.254909,  -196.104252,  19.050000,  19.050000,  04/25/18 09:54:32,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002222 mm,  Weather:T=21.7C,P=975.1hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000108, 2 = 0.000868, 3 = 0.001050 mm
20180425,  Flaeche mitte,  3,  -131.849588,  2108.189887,  -196.217341,  19.050000,  19.050000,  04/25/18 09:57:12,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005698 mm,  Weather:T=21.7C,P=975.1hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001910, 2 = 0.001888, 3 = 0.000400 mm
20180425,  Flaeche mitte,  4,  68.057060,  2073.840679,  -196.515966,  19.050000,  19.050000,  04/25/18 09:58:17,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001073 mm,  Weather:T=21.7C,P=975.2hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000026, 2 = 0.000342, 3 = 0.000800 mm
20180425,  Flaeche mitte,  5,  134.852257,  2170.136722,  -196.503881,  19.050000,  19.050000,  04/25/18 09:59:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.000344 mm,  Weather:T=21.8C,P=975.3hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000062, 2 = 0.000112, 3 = 0.000200 mm
20180425,  Flaeche mitte,  6,  214.115576,  2287.387217,  -196.461654,  19.050000,  19.050000,  04/25/18 10:00:06,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005863 mm,  Weather:T=21.8C,P=975.3hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001867, 2 = 0.001734, 3 = 0.000100 mm
20180425,  Flaeche oben,  1,  164.549814,  2239.557409,  -71.998269,  19.050000,  19.050000,  04/25/18 10:01:14,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004925 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001645, 2 = 0.001379, 3 = 0.001000 mm
20180425,  Flaeche oben,  2,  -39.436337,  2032.453748,  -72.253397,  19.050000,  19.050000,  04/25/18 10:01:45,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.001363 mm,  Weather:T=21.8C,P=975.1hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000055, 2 = 0.000075, 3 = 0.001350 mm
20180425,  Flaeche oben,  3,  -116.601455,  2253.516188,  -71.687255,  19.050000,  19.050000,  04/25/18 10:02:32,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004286 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.5%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001741, 2 = 0.000089, 3 = 0.001700 mm
20180425,  Flaeche oben,  4,  -170.142893,  2361.791762,  -71.331127,  19.050000,  19.050000,  04/25/18 10:03:13,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.002420 mm,  Weather:T=21.8C,P=975.3hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000155, 2 = 0.001009, 3 = 0.000050 mm
20180425,  Referenzen,  Ref-1,  -5.704497,  2039.505975,  -81.942596,  19.050000,  19.050000,  04/25/18 10:03:58,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008338 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.4%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001805, 2 = 0.003655, 3 = 0.000550 mm
20180425,  Referenzen,  Ref-2,  -178.872234,  2333.168348,  -81.278800,  19.050000,  19.050000,  04/25/18 10:04:31,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.005992 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001793, 2 = 0.001806, 3 = 0.000650 mm
20180425,  Referenzen,  Ref-3,  -150.775213,  2201.387996,  -927.895986,  19.050000,  19.050000,  04/25/18 10:04:56,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.004470 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.002014, 2 = 0.000196, 3 = 0.000100 mm
20180425,  Referenzen,  Ref-4,  111.969587,  2152.453040,  -928.290008,  19.050000,  19.050000,  04/25/18 10:05:31,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.003984 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001848, 2 = 0.000039, 3 = 0.000000 mm
20180425,  Referenzen,  Ref-5,  102.262094,  2158.275492,  -203.423650,  19.050000,  19.050000,  04/25/18 10:06:01,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008691 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.001685, 2 = 0.003624, 3 = 0.000650 mm
20180425,  Referenzen,  Ref-6,  -137.986998,  2202.945893,  -203.091024,  19.050000,  19.050000,  04/25/18 10:07:02,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.008358 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.3%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.003160, 2 = 0.000092, 3 = 0.004600 mm
20180425,  Referenzen,  Ref-7,  -48.438694,  2015.885149,  -205.955569,  19.050000,  19.050000,  04/25/18 10:08:17,  ,  Leica AT401 391094,  Reflector 'defaultRRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: defaultRRR 1.5in',  RMS Error 0.000997 mm,  Weather:T=21.8C,P=975.2hPA(mbar),H=40.2%,  Measure Time Discrete Point Fast Pt. To SA,  emScon FAST Measurement Mode Used Laser Status: Ready ,  std components: 1 = 0.000301, 2 = 0.000383, 3 = 0.000150 mm
