// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Standpunkt 1::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Standpunkt 1,  Geometrie1,  1,  1723.693818,  719.334967,  -804.670984,  6.350000,  6.350000,  05/10/19 14:05:18,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  18,  1722.176601,  719.833791,  -788.040408,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  19,  1722.322651,  719.786680,  -787.050614,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  20,  1722.576027,  719.842409,  -786.073695,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  21,  1722.844910,  719.879469,  -785.103689,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  22,  1723.103121,  719.851497,  -784.132393,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  23,  1723.324288,  719.723898,  -783.156485,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  24,  1723.682174,  719.757769,  -782.213317,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  25,  1723.807256,  719.415873,  -781.279741,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  26,  1724.093823,  719.247303,  -780.324688,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  27,  1724.467246,  719.167855,  -779.398451,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  28,  1724.686202,  718.824109,  -778.482419,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  29,  1724.951694,  718.500951,  -777.568406,  6.350000,  6.350000,  05/10/19 14:05:20,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  30,  1725.095842,  717.997867,  -776.713014,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  31,  1725.562369,  717.884049,  -775.827336,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  32,  1725.905572,  717.544808,  -774.947571,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  33,  1726.408548,  717.409633,  -774.093519,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  34,  1726.796078,  717.048965,  -773.235935,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  35,  1727.245631,  716.731510,  -772.386136,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  36,  1727.769723,  716.501479,  -771.563243,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  37,  1728.362666,  716.331005,  -770.756170,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  38,  1728.934591,  716.094471,  -769.967690,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  39,  1729.377645,  715.628345,  -769.191545,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
Standpunkt 1,  Geometrie1,  40,  1729.693281,  715.007352,  -768.474061,  6.350000,  6.350000,  05/10/19 14:05:22,  ,  AT960-LR 750836 ,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  Weather:T=20.7C,P=972.9hPA(mbar),H=49.1%,  Sp. Scan Parameters:,  Start Trigger =  Taste/Verzögert,  Messverzögerung = 0.000000,  Pause bei Strahlunterbrechung = FALSCH,  Wait for Stable When Beam Reset = FALSCH,  Punkte = 1000,  Anzahl/Pkte = 1,  Stop Trigger =  # Punkte,  Inkrement = 0.001000,  Sampling Frequenz = 100.000000
